Month,Price,Change
Apr 2008,249.53,61.40%
May 2008,350.99,40.66%
Jun 2008,351.08,0.03%
Jul 2008,346.25,-1.38%
Aug 2008,364.76,5.35%
Sep 2008,380.07,4.20%
Oct 2008,410.39,7.98%
Nov 2008,428.88,4.51%
Dec 2008,406.88,-5.13%
Jan 2009,412.63,1.41%
Feb 2009,453.80,9.98%
Mar 2009,523.45,15.35%
Apr 2009,517.50,-1.14%
May 2009,500.14,-3.35%
Jun 2009,486.97,-2.63%
Jul 2009,437.03,-10.26%
Aug 2009,371.48,-15.00%
Sep 2009,291.90,-21.42%
Oct 2009,286.87,-1.72%
Nov 2009,284.97,-0.66%
Dec 2009,290.93,2.09%
Jan 2010,272.87,-6.21%
Feb 2010,273.58,0.26%
Mar 2010,250.60,-8.40%
Apr 2010,253.64,1.21%
May 2010,266.07,4.90%
Jun 2010,256.00,-3.79%
Jul 2010,244.79,-4.38%
Aug 2010,242.42,-0.97%
Sep 2010,239.12,-1.36%
Oct 2010,224.90,-5.95%
Nov 2010,234.86,4.43%
Dec 2010,243.98,3.88%
Jan 2011,241.45,-1.03%
Feb 2011,274.33,13.62%
Mar 2011,242.89,-11.46%
Apr 2011,235.47,-3.06%
May 2011,233.14,-0.99%
Jun 2011,246.75,5.84%
Jul 2011,310.51,25.84%
Aug 2011,308.52,-0.64%
Sep 2011,321.85,4.32%
Oct 2011,317.36,-1.39%
Nov 2011,320.33,0.94%
Dec 2011,341.52,6.62%
Jan 2012,383.32,12.24%
Feb 2012,374.41,-2.32%
Mar 2012,374.99,0.15%
Apr 2012,362.81,-3.25%
May 2012,373.17,2.86%
Jun 2012,381.22,2.16%
Jul 2012,227.71,-40.27%
Aug 2012,385.11,69.12%
Sep 2012,371.05,-3.65%
Oct 2012,368.03,-0.81%
Nov 2012,372.48,1.21%
Dec 2012,364.27,-2.20%
Jan 2013,297.34,-18.37%
Feb 2013,295.72,-0.55%
Mar 2013,304.71,3.04%
Apr 2013,303.26,-0.48%
May 2013,304.24,0.32%
Jun 2013,299.52,-1.55%
Jul 2013,301.92,0.80%
Aug 2013,296.79,-1.70%
Sep 2013,295.80,-0.33%
Oct 2013,289.64,-2.08%
Nov 2013,293.00,1.16%
Dec 2013,288.35,-1.59%
Jan 2014,290.18,0.63%
Feb 2014,225.28,-22.37%
Mar 2014,201.49,-10.56%
Apr 2014,216.47,7.44%
May 2014,219.04,1.19%
Jun 2014,221.82,1.27%
Jul 2014,206.41,-6.95%
Aug 2014,209.90,1.69%
Sep 2014,216.85,3.31%
Oct 2014,220.56,1.71%
Nov 2014,224.12,1.61%
Dec 2014,226.68,1.14%
Jan 2015,241.05,6.34%
Feb 2015,246.34,2.19%
Mar 2015,261.58,6.19%
Apr 2015,277.44,6.06%
May 2015,269.69,-2.79%
Jun 2015,268.90,-0.29%
Jul 2015,274.33,2.02%
Aug 2015,270.74,-1.31%
Sep 2015,268.61,-0.79%
Oct 2015,268.56,-0.02%
Nov 2015,280.48,4.44%
Dec 2015,277.21,-1.17%
Jan 2016,277.68,0.17%
Feb 2016,271.94,-2.07%
Mar 2016,271.69,-0.09%
Apr 2016,265.90,-2.13%
May 2016,266.39,0.19%
Jun 2016,268.53,0.80%
Jul 2016,255.31,-4.92%
Aug 2016,184.19,-27.86%
Sep 2016,184.13,-0.03%
Oct 2016,187.42,1.78%
Nov 2016,190.88,1.85%
Dec 2016,195.89,2.63%
Jan 2017,194.42,-0.75%
Feb 2017,283.27,45.70%
Mar 2017,193.29,-31.77%
Apr 2017,192.69,-0.31%
May 2017,186.89,-3.01%
Jun 2017,183.90,-1.60%
Jul 2017,179.94,-2.15%
Aug 2017,182.53,1.44%
Sep 2017,180.87,-0.91%
Oct 2017,183.31,1.35%
Nov 2017,183.80,0.27%
Dec 2017,182.07,-0.94%
Jan 2018,176.73,-2.93%
Feb 2018,174.58,-1.22%
Mar 2018,174.69,0.07%
Apr 2018,175.55,0.49%
May 2018,182.33,3.86%
Jun 2018,184.54,1.21%
Jul 2018,184.38,-0.09%
Aug 2018,186.62,1.21%
Sep 2018,184.81,-0.97%
Oct 2018,187.66,1.54%
Nov 2018,189.61,1.04%
Dec 2018,189.39,-0.12%
Jan 2019,188.72,-0.35%
Feb 2019,189.83,0.59%
Mar 2019,217.21,14.42%
Apr 2019,236.25,8.77%
May 2019,237.40,0.48%
Jun 2019,235.10,-0.97%
Jul 2019,236.74,0.70%
Aug 2019,238.63,0.80%
Sep 2019,241.24,1.09%
Oct 2019,240.21,-0.43%
Nov 2019,240.12,-0.03%
Dec 2019,239.01,-0.46%
Jan 2020,220.70,-7.66%
Feb 2020,224.61,1.77%
Mar 2020,221.53,-1.37%
Apr 2020,225.48,1.78%
May 2020,198.15,-12.12%
Jun 2020,179.93,-9.20%
Jul 2020,176.42,-1.95%
Aug 2020,171.21,-2.95%
Sep 2020,171.79,0.34%
Oct 2020,171.99,0.12%
Nov 2020,171.18,-0.47%
Dec 2020,166.70,-2.61%
Jan 2021,166.31,-0.24%
Feb 2021,167.41,0.66%
Mar 2021,170.19,1.66%
Apr 2021,169.06,-0.67%
May 2021,166.77,-1.35%
Jun 2021,168.11,0.80%
Jul 2021,171.33,1.92%
Aug 2021,187.74,9.58%
Sep 2021,188.00,0.14%
Oct 2021,190.47,1.32%
Nov 2021,193.38,1.53%
Dec 2021,195.61,1.15%
Jan 2022,195.41,-0.10%
Feb 2022,345.41,76.76%
Mar 2022,510.50,47.80%
