Month,Price,Change
Jul 2007,4.54,-16.64%
Aug 2007,4.55,0.36%
Sep 2007,4.39,-3.54%
Oct 2007,4.78,8.87%
Nov 2007,4.86,1.74%
Dec 2007,4.91,0.92%
Jan 2008,5.44,10.76%
Feb 2008,5.80,6.67%
Mar 2008,6.06,4.43%
Apr 2008,6.43,6.22%
May 2008,7.22,12.24%
Jun 2008,8.15,12.94%
Jul 2008,7.07,-13.28%
Aug 2008,5.51,-22.05%
Sep 2008,5.35,-2.88%
Oct 2008,5.06,-5.50%
Nov 2008,5.24,3.57%
Dec 2008,4.31,-17.65%
Jan 2009,3.96,-8.22%
Feb 2009,3.54,-10.71%
Mar 2009,3.03,-14.32%
Apr 2009,2.65,-12.40%
May 2009,2.79,5.21%
Jun 2009,2.71,-2.89%
Jul 2009,2.41,-11.24%
Aug 2009,2.21,-8.26%
Sep 2009,2.03,-7.92%
Oct 2009,2.71,33.47%
Nov 2009,2.47,-8.82%
Dec 2009,3.68,48.57%
Jan 2010,4.07,10.76%
Feb 2010,3.90,-4.16%
Mar 2010,3.16,-18.97%
Apr 2010,2.99,-5.39%
May 2010,3.31,10.61%
Jun 2010,3.92,18.58%
Jul 2010,3.63,-7.57%
Aug 2010,3.34,-7.81%
Sep 2010,2.98,-10.75%
Oct 2010,2.47,-17.28%
Nov 2010,2.72,10.04%
Dec 2010,3.21,18.09%
Jan 2011,3.36,4.80%
Feb 2011,2.98,-11.28%
Mar 2011,2.84,-4.90%
Apr 2011,2.94,3.54%
May 2011,3.00,2.30%
Jun 2011,3.16,5.28%
Jul 2011,3.09,-2.15%
Aug 2011,2.82,-8.75%
Sep 2011,2.84,0.45%
Oct 2011,2.60,-8.18%
Nov 2011,2.39,-8.39%
Dec 2011,2.40,0.52%
Jan 2012,2.08,-13.46%
Feb 2012,1.91,-8.16%
Mar 2012,1.64,-13.76%
Apr 2012,1.48,-9.87%
May 2012,1.91,28.70%
Jun 2012,1.96,2.99%
Jul 2012,2.40,22.38%
Aug 2012,2.29,-4.70%
Sep 2012,2.21,-3.65%
Oct 2012,2.56,15.95%
Nov 2012,2.76,7.92%
Dec 2012,2.55,-7.73%
Jan 2013,2.51,-1.62%
Feb 2013,2.49,-0.55%
Mar 2013,2.94,17.90%
Apr 2013,3.20,8.93%
May 2013,3.11,-2.80%
Jun 2013,2.90,-6.67%
Jul 2013,2.77,-4.73%
Aug 2013,2.58,-6.86%
Sep 2013,2.71,5.19%
Oct 2013,2.69,-0.73%
Nov 2013,2.69,-0.22%
Dec 2013,3.10,15.27%
Jan 2014,3.45,11.55%
Feb 2014,4.37,26.62%
Mar 2014,3.53,-19.24%
Apr 2014,3.35,-5.06%
May 2014,3.32,-0.97%
Jun 2014,3.36,1.28%
Jul 2014,2.96,-11.92%
Aug 2014,2.91,-1.60%
Sep 2014,3.04,4.37%
Oct 2014,2.98,-2.18%
Nov 2014,3.29,10.51%
Dec 2014,2.78,-15.39%
Jan 2015,2.56,-7.92%
Feb 2015,2.51,-1.94%
Mar 2015,2.58,2.89%
Apr 2015,2.39,-7.38%
May 2015,2.55,6.35%
Jun 2015,2.47,-2.95%
Jul 2015,2.57,4.23%
Aug 2015,2.48,-3.75%
Sep 2015,2.36,-4.74%
Oct 2015,2.07,-12.47%
Nov 2015,1.94,-6.36%
Dec 2015,1.77,-8.77%
Jan 2016,2.09,18.43%
Feb 2016,1.77,-15.44%
Mar 2016,1.53,-13.35%
Apr 2016,1.68,9.38%
May 2016,1.70,1.24%
Jun 2016,2.29,34.93%
Jul 2016,2.52,10.16%
Aug 2016,2.49,-1.31%
Sep 2016,2.65,6.42%
Oct 2016,2.68,1.10%
Nov 2016,2.31,-13.69%
Dec 2016,3.40,46.96%
Jan 2017,3.07,-9.62%
Feb 2017,2.65,-13.68%
Mar 2017,2.71,2.10%
Apr 2017,2.87,6.25%
May 2017,2.82,-1.75%
Jun 2017,2.62,-7.27%
Jul 2017,2.57,-1.84%
Aug 2017,2.44,-5.08%
Sep 2017,2.48,1.84%
Oct 2017,2.43,-2.08%
Nov 2017,2.55,4.83%
Dec 2017,2.33,-8.56%
Jan 2018,3.17,35.75%
Feb 2018,2.16,-31.67%
Mar 2018,2.19,1.19%
Apr 2018,2.26,3.47%
May 2018,2.37,4.61%
Jun 2018,2.53,6.63%
Jul 2018,2.42,-4.15%
Aug 2018,2.56,5.86%
Sep 2018,2.56,-0.30%
Oct 2018,2.86,11.76%
Nov 2018,3.63,27.22%
Dec 2018,3.50,-3.74%
Jan 2019,2.69,-23.13%
Feb 2019,2.39,-11.21%
Mar 2019,2.59,8.59%
Apr 2019,2.35,-9.38%
May 2019,2.33,-0.66%
Jun 2019,2.11,-9.69%
Jul 2019,2.09,-1.00%
Aug 2019,2.00,-4.37%
Sep 2019,2.34,17.03%
Oct 2019,2.04,-12.83%
Nov 2019,2.38,16.85%
Dec 2019,1.98,-16.74%
Jan 2020,1.82,-8.12%
Feb 2020,1.74,-4.28%
Mar 2020,1.61,-7.60%
Apr 2020,1.59,-1.07%
May 2020,1.61,0.83%
Jun 2020,1.44,-10.34%
Jul 2020,1.52,5.31%
Aug 2020,1.94,28.28%
Sep 2020,1.63,-16.24%
Oct 2020,1.91,17.32%
Nov 2020,2.19,14.57%
Dec 2020,2.09,-4.49%
Jan 2021,2.19,4.87%
Feb 2021,4.19,91.15%
Mar 2021,2.15,-48.67%
Apr 2021,2.18,1.27%
May 2021,2.38,9.23%
Jun 2021,2.69,13.01%
Jul 2021,3.22,19.53%
Aug 2021,3.44,7.01%
Sep 2021,4.35,26.34%
Oct 2021,4.72,8.65%
Nov 2021,4.39,-7.00%
Dec 2021,3.30,-24.84%
Jan 2022,3.83,15.97%
Feb 2022,4.11,7.32%
Mar 2022,4.43,7.79%
