Month,Price,Change
Jun 2014,81.96,-0.05%
Jul 2014,81.97,0.02%
Aug 2014,83.36,1.69%
Sep 2014,86.41,3.66%
Oct 2014,91.54,5.93%
Nov 2014,95.82,4.68%
Dec 2014,96.92,1.14%
Jan 2015,103.06,6.34%
Feb 2015,106.86,3.69%
Mar 2015,113.53,6.24%
Apr 2015,105.90,-6.73%
May 2015,99.05,-6.47%
Jun 2015,106.04,7.07%
Jul 2015,110.09,3.82%
Aug 2015,108.66,-1.31%
Sep 2015,110.47,1.67%
Oct 2015,110.01,-0.42%
Nov 2015,114.89,4.44%
Dec 2015,113.55,-1.17%
Jan 2016,112.92,-0.56%
Feb 2016,103.27,-8.54%
Mar 2016,103.18,-0.09%
Apr 2016,100.65,-2.45%
May 2016,97.63,-3.00%
Jun 2016,98.42,0.80%
Jul 2016,99.87,1.47%
Aug 2016,97.89,-1.98%
Sep 2016,97.19,-0.71%
Oct 2016,98.93,1.78%
Nov 2016,95.21,-3.76%
Dec 2016,92.49,-2.85%
Jan 2017,91.21,-1.38%
Feb 2017,89.26,-2.14%
Mar 2017,91.26,2.25%
Apr 2017,89.23,-2.22%
May 2017,83.71,-6.19%
Jun 2017,82.38,-1.60%
Jul 2017,80.31,-2.51%
Aug 2017,75.17,-6.40%
Sep 2017,71.34,-5.10%
Oct 2017,68.05,-4.61%
Nov 2017,68.23,0.27%
Dec 2017,67.59,-0.94%
Jan 2018,65.61,-2.93%
Feb 2018,66.83,1.87%
Mar 2018,68.66,2.73%
Apr 2018,71.69,4.41%
May 2018,74.46,3.86%
Jun 2018,74.33,-0.17%
Jul 2018,74.34,0.01%
Aug 2018,75.77,1.93%
Sep 2018,75.04,-0.97%
Oct 2018,79.46,5.89%
Nov 2018,81.39,2.42%
Dec 2018,87.15,7.09%
Jan 2019,89.76,3.00%
Feb 2019,90.29,0.59%
Mar 2019,87.15,-3.48%
Apr 2019,86.76,-0.45%
May 2019,87.18,0.48%
Jun 2019,86.34,-0.97%
Jul 2019,71.33,-17.38%
Aug 2019,70.11,-1.72%
Sep 2019,70.42,0.45%
Oct 2019,70.12,-0.43%
Nov 2019,66.93,-4.55%
Dec 2019,65.27,-2.48%
Jan 2020,65.31,0.07%
Feb 2020,66.47,1.77%
Mar 2020,64.99,-2.22%
Apr 2020,65.11,0.18%
May 2020,66.88,2.71%
Jun 2020,66.64,-0.35%
Jul 2020,65.34,-1.95%
Aug 2020,65.00,-0.52%
Sep 2020,67.34,3.60%
Oct 2020,67.95,0.90%
Nov 2020,69.74,2.64%
Dec 2020,68.60,-1.63%
Jan 2021,69.81,1.76%
Feb 2021,72.86,4.37%
Mar 2021,80.89,11.03%
Apr 2021,79.31,-1.96%
May 2021,84.41,6.43%
Jun 2021,103.77,22.93%
Jul 2021,105.76,1.92%
Aug 2021,116.28,9.95%
Sep 2021,125.47,7.90%
Oct 2021,127.12,1.32%
Nov 2021,133.99,5.40%
Dec 2021,156.38,16.70%
Jan 2022,153.08,-2.10%
Feb 2022,152.10,-0.65%
Mar 2022,162.23,6.66%
